Wall time,Step,Value
1712766750.781638,2,1.511373519897461
1712766751.333701,3,0.9371239542961121
1712766751.677931,4,0.9757981896400452
1712766752.024129,5,0.5844382047653198
1712766752.376567,6,0.5487250089645386
1712766752.72164,7,0.5708673000335693
1712766753.066018,8,0.5747988224029541
1712766753.407572,9,0.5559640526771545
1712766753.753619,10,0.5373374819755554
1712766754.10266,11,0.48618507385253906
1712766754.451687,12,0.40625491738319397
1712766754.796279,13,0.26605653762817383
1712766755.141005,14,0.1533476710319519
1712766755.484902,15,0.22621601819992065
1712766755.82824,16,0.4677560031414032
1712766756.176467,17,0.42519983649253845
1712766756.523021,18,0.15470856428146362
1712766756.869449,19,0.07749694585800171
1712766757.415902,20,0.10434812307357788
1712766757.95957,21,0.04147595167160034
1712766758.492673,22,0.02797168493270874
1712766759.032933,23,0.07415461540222168
1712766759.576247,24,0.09244346618652344
1712766760.116293,25,0.07946544885635376
1712766760.645819,26,0.03526371717453003
1712766761.191182,27,0.02643907070159912
1712766761.722335,28,0.07496625185012817
1712766762.25149,29,0.08104634284973145
1712766762.795319,30,0.05145817995071411
1712766763.140553,31,0.0165860652923584
1712766763.489269,32,0.0016382336616516113
1712766763.832855,33,0.00398564338684082
1712766764.17973,34,0.006994307041168213
1712766764.663542,35,0.010606765747070312
1712766765.195134,36,0.009984076023101807
1712766765.698911,37,0.006710529327392578
1712766766.195107,38,0.007563292980194092
1712766766.915182,39,0.01413881778717041
1712766767.631826,40,0.021732032299041748
1712766768.339394,41,0.01822686195373535
1712766769.088531,42,0.01640141010284424
1712766769.774172,43,0.018349051475524902
1712766770.484707,44,0.011382102966308594
1712766771.186592,45,0.009464919567108154
1712766771.910739,46,0.02143937349319458
1712766772.606627,47,0.007172107696533203
1712766773.334012,48,0.002195298671722412
1712766773.829865,49,0.0005183815956115723
1712766774.542331,50,0.007223546504974365
1712766775.042241,51,0.012300312519073486
1712766775.544032,52,0.013280987739562988
1712766776.043887,53,0.009165585041046143
1712766776.544959,54,0.0066283345222473145
1712766777.047673,55,0.010223448276519775
1712766777.763677,56,0.010776817798614502
1712766778.490813,57,0.006510436534881592
1712766779.195817,58,0.001976311206817627
1712766779.91487,59,0.0007690787315368652
1712766780.610323,60,0.0005981922149658203
1712766781.302408,61,0.00033468008041381836
1712766782.006651,62,0.0004888176918029785
1712766782.73495,63,0.002363264560699463
1712766783.250724,64,0.002179563045501709
1712766783.753216,65,0.003716588020324707
1712766784.258507,66,0.004346013069152832
1712766784.752479,67,0.004716157913208008
1712766785.249776,68,0.004468560218811035
1712766785.971475,69,0.0016855597496032715
1712766786.69835,70,0.00037097930908203125
1712766787.401799,71,7.075071334838867e-05
1712766788.117179,72,0.0003241896629333496
1712766788.815447,73,0.0010277032852172852
1712766789.548778,74,6.99758529663086e-05
1712766790.25535,75,0.0010032057762145996
1712766790.77366,76,0.0015701055526733398
1712766791.275355,77,0.0006366968154907227
1712766791.783804,78,0.0007110834121704102
1712766792.287499,79,0.002124011516571045
1712766792.789481,80,0.0019960403442382812
1712766793.308461,81,0.0013763904571533203
1712766793.812197,82,0.00018513202667236328
1712766794.309041,83,0.0021465420722961426
1712766795.052877,84,0.0013663172721862793
1712766795.556915,85,0.0017742514610290527
1712766796.064288,86,0.002741873264312744
1712766796.569463,87,0.0012248754501342773
1712766797.074117,88,0.0017477869987487793
1712766797.80149,89,0.002497375011444092
1712766798.311161,90,0.0001456737518310547
1712766798.817501,91,0.00052642822265625
1712766799.316177,92,0.0017380118370056152
1712766800.033886,93,0.0014724135398864746
1712766800.527909,94,0.0008755326271057129
1712766801.031247,95,0.0011861324310302734
1712766801.545112,96,0.0014157295227050781
1712766802.044378,97,0.0004285573959350586
1712766802.544945,98,0.0004462599754333496
1712766803.05102,99,0.0004469156265258789
1712766803.789353,100,0.0011053085327148438
1712766804.297078,101,0.00046074390411376953
1712766804.817758,102,0.0011698007583618164
1712766805.533122,103,0.0012878775596618652
1712766806.043508,104,0.00017660856246948242
1712766806.599562,105,0.0003580451011657715
1712766807.108121,106,0.0005702376365661621
1712766807.604717,107,0.0010478496551513672
1712766808.124166,108,0.0004048347473144531
1712766808.623007,109,0.00031644105911254883
1712766809.136705,110,0.0011477470397949219
1712766809.681803,111,0.0004343986511230469
1712766810.220614,112,0.00010651350021362305
1712766810.741549,113,9.000301361083984e-05
1712766811.508801,114,0.000402987003326416
1712766812.011595,115,0.0008561611175537109
1712766812.513449,116,4.017353057861328e-05
1712766813.062798,117,0.00034922361373901367
1712766813.78412,118,0.00036513805389404297
1712766814.274032,119,0.00037163496017456055
1712766814.785451,120,0.00010091066360473633
1712766815.284701,121,0.0001405477523803711
1712766815.986793,122,0.0004615187644958496
1712766816.690106,123,0.00028228759765625
1712766817.176284,124,3.17692756652832e-05
1712766817.534849,125,0.00021499395370483398
1712766818.235642,126,1.049041748046875e-05
1712766818.803394,127,0.0003675222396850586
1712766819.159004,128,0.00039505958557128906
1712766819.537767,129,0.0002880096435546875
1712766819.887469,130,0.0001575946807861328
1712766820.370585,131,2.5331974029541016e-05
1712766820.741944,132,6.437301635742188e-05
1712766821.307107,133,0.00024944543838500977
1712766821.672864,134,0.00025212764739990234
1712766822.062096,135,0.0002315044403076172
1712766822.413334,136,2.9981136322021484e-05
1712766822.758595,137,0.0001944899559020996
1712766823.14609,138,0.00016158819198608398
1712766823.63716,139,3.612041473388672e-05
1712766823.994964,140,0.00010877847671508789
1712766824.609765,141,0.00012999773025512695
1712766824.957913,142,0.0001417994499206543
1712766825.44075,143,3.30805778503418e-05
1712766825.818245,144,0.0002505779266357422
1712766826.170988,145,0.0003833174705505371
1712766826.53095,146,0.0003483295440673828
1712766827.041151,147,0.00023615360260009766
1712766827.399469,148,0.0003701448440551758
1712766827.885306,149,0.0002586841583251953
1712766828.383802,150,0.00020074844360351562
1712766828.86638,151,0.00014483928680419922
1712766829.220835,152,0.0001747608184814453
1712766829.656597,153,0.0003205537796020508
1712766830.019986,154,0.00026613473892211914
1712766830.370897,155,0.0002675652503967285
1712766830.734436,156,0.00029712915420532227
1712766831.0853,157,0.0005113482475280762
1712766831.571846,158,0.0005733370780944824
1712766831.964309,159,0.0005546212196350098
1712766832.320575,160,0.0006248950958251953
1712766832.804719,161,0.0008328557014465332
1712766833.191972,162,0.0009903311729431152
1712766833.552079,163,0.00119704008102417
1712766833.910853,164,0.0015726089477539062
1712766834.42934,165,0.0019732117652893066
1712766834.919807,166,0.002421081066131592
1712766835.274672,167,0.002874433994293213
1712766835.660002,168,0.0033257603645324707
1712766836.154786,169,0.003504931926727295
1712766836.645081,170,0.0033573508262634277
1712766837.060356,171,0.0033208727836608887
1712766837.420759,172,0.0025680065155029297
1712766837.776312,173,0.0014994144439697266
1712766838.151447,174,0.0002327561378479004
1712766838.511499,175,0.0009911060333251953
1712766839.000445,176,0.0020784735679626465
1712766839.518478,177,0.0026761889457702637
1712766839.879522,178,0.0026202797889709473
1712766840.230558,179,0.0022239089012145996
1712766840.609113,180,0.0015696287155151367
1712766840.9774,181,0.0005549788475036621
1712766841.477387,182,0.0005230307579040527
1712766841.853542,183,0.001247107982635498
1712766842.22321,184,0.002046644687652588
1712766842.585285,185,0.0019760727882385254
1712766843.124811,186,0.0014306306838989258
1712766843.613443,187,0.0008842945098876953
1712766843.96162,188,0.0001596212387084961
1712766844.472493,189,0.0007908940315246582
1712766844.828322,190,0.0014864206314086914
1712766845.176948,191,0.0017582178115844727
1712766845.553742,192,0.0017015933990478516
1712766845.917678,193,0.001114487648010254
1712766846.271411,194,0.0005930066108703613
1712766846.781006,195,0.0002663135528564453
1712766847.134913,196,0.0007526874542236328
1712766847.492857,197,0.0009437799453735352
1712766848.015836,198,0.0010911226272583008
1712766848.377498,199,0.0011764168739318848
